;sexo;edad;anos_edc;pareja;estudiante_act;estrato;pc;internet;padres_reside_madre;padres_reside_ninguno;padres_reside_padre;padres_reside_padre y madre;etnia_Afro;etnia_gitano;etnia_indigena;etnia_sin_rec_etnico;prediccion
86;1.0;0.3563218390804598;0.5384615384615385;0.0;0.0;0.4000000000000001;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1
87;1.0;0.09195402298850575;0.576923076923077;0.0;1.0;0.4000000000000001;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0
88;1.0;0.4597701149425287;0.6923076923076923;0.0;0.0;0.4000000000000001;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1
89;1.0;0.22988505747126436;0.7692307692307693;1.0;0.0;1.0000000000000002;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1
90;1.0;0.1954022988505747;0.42307692307692313;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0
91;0.0;0.05747126436781608;0.2692307692307693;1.0;0.0;0.2;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0
92;0.0;0.14942528735632182;0.42307692307692313;1.0;0.0;0.4000000000000001;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1
93;1.0;0.13793103448275862;0.6153846153846154;0.0;0.0;0.6000000000000001;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1
94;1.0;0.14942528735632182;0.5;0.0;0.0;0.2;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1
95;1.0;0.22988505747126436;0.6153846153846154;0.0;0.0;0.4000000000000001;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1
96;1.0;0.24137931034482757;0.42307692307692313;0.0;0.0;0.2;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0
97;1.0;0.16091954022988503;0.6153846153846154;0.0;0.0;0.6000000000000001;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1
98;1.0;0.1839080459770115;0.5;1.0;0.0;0.2;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1
99;0.0;0.2988505747126437;0.34615384615384615;1.0;0.0;0.2;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0
100;0.0;0.1954022988505747;0.3076923076923077;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0
101;0.0;0.28735632183908044;0.42307692307692313;0.0;0.0;0.2;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0
